inirezkydi || Bolehlah uji coba langsung bareng @tim_jurnalrisa @risa_saraswati 😂
_nandamustika || 😢
tamskyy3 || 😭🤣
stangbengkang || Nyai @sarawijayanto pliss ajak dia lockdown
bluwbrryh || cape😭
aybiwbwo || disembur kaga tuh 😭
dilaarchive.0 || ada aja jir yaallah😭
risnawatiiiii_ || Soundnya mana deg deg deg
ssfi_tri || Ga paham lagi sama fadil😂
rizki.tazkia || Puas bgt liat d'sembur...
vaaliana || Gue tonton ampe abis lagi 😂
oohsiva || 😂😂
lailanoerindahs || Malah wtspan sama meta😂
lelanurleni || Yang lewat meta Al😂
sara_sabri1712 || Ya Allah 🤣🤣🤣
fina.asbahad || 😭😭
twins_ashilaaqilla || Kurang bnyak nyemburnya😂😂
rikatrianar || Gong bgt akhir cerita ini 🔥🔥🔥😂😂😂
ikyrifky213 || Sekalian aja tanya ke AI bahasa Medan Gimana 😂
talentadndmrs || 😭😂😂
putriipm_ || 😭😭😭😭
elis_nurhayati16 || Kurang banyak pak muh nyemburnya 😂
nurafadillah || Ada aje fadhil tingkah nye🫵🏻
anissaputrirahayu01 || Biasanya klo nonton yang bgni tkut  tpi ini gk ad rsa takut nontonnya😂
hasni_mslmn || 😂😂😂😂
donarlm || 😂😂😂
nichoooo02 || pak Muh mau mau aja cosplay jadi Harry Pantja-Rudy Kawilarang di Dunia Lain 😂😂
megaagustinp || Jd inget temen saya kesurupan ikut uji nyali @r_nugraha31
arroz_zaqu || Hahahaa ngakak 🤣🤣🤣🤣
armyyindah || Beneran disembur 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 puas bgt gua liat adil disembur pak muh
ummi_kiqie || ada aja kerjaannya bapak anak tiap hari 😂
choiriyahrifatul7 || 😂😂😂😂😂
naiazzahra15 || Gw suka banget endingnya😂😂 sesuai expetasi😂
sish_20 || 😭😭🤣
dealovaqarim || 😂
tabinakhailil || "kok disembur sih?" "elunya kesurupan" 😭😭😭😭🤣🤣
adwtr_ || gue belom apa" udah ketawa
rossalia_dewi2802 || @sarawijayanto mba sara Fadil @fadiljaidi mau ikutan dukding tuh mba ajakin deh😂
devayuliasari08 || hahahahah pasukann paa muhhhh lucuuu bgttt😂😂
indhindrarti || Puas banget endingnya di sembur pak muhhh🤣🤣🤣
wipcaixiii || WKWKWKWKW NGAKAK😭😭😭🤣🤣🤣
rusdiana_shanum95 || 😂😂😂😂😂
tsyfbrr || ya Allah adaada aja😭
nr_malap || Di semburrrr 😭😭😭😭
itsmenpa || @risa_saraswati ajak beneran teh biar kapok
lianidaa || Bagian pa muh nyembur tuh keren bgt ga sii??!
adingputrw || Undang kak tolong anaknya pemberani sekali sepertinya @sarawijayanto @diarymisterisara
sheilanurulagusta || 😂😂😂😂😂
vinaajn || Ngakak disembur😭 @bungarahmanita
destr0ylonely_____ || cb dong ini pak muh ama fadil ajakin teh risa hahaha
hannaaaa__14 || Liat ini jadi kangen kakak beradik podcast iya gasih apasih lgi nama podcastnya?😭😭
rara_rahmaa96 || 🤣😭
rezasrilestari || Tolong ajak dua orang ini penulusuran😭🤣! @tim_jurnalrisa @risa_saraswati
hiputrirahma || pasiennya disembur 😂
inrhdyza || 😂😂
anisalmatin.official || 😭😭
hry_yp11 || 😂
rismaraminda21 || @tim_jurnalrisa coba ajak uji nyali teh 😂
sallyaisyah_ || @mnerliaaaa 😭😭
jrvstory || 20 tahun mah kaga tuaaaaaa😂😂😂😂 tuaan juga elu 😂😂
alifarhmhh_ || @nblaaa.mn 😭
bint_alhana || Puas bgt pak muh nyembur 😂
diniapr09 || 😂
itsyourrrcaa || 😭😭😭
sondang_irene || 🤣🤣
mutiasaa79 || @tim_jurnalrisa ajakin min pak muh sama @fadiljaidi 😭
happyfamilyshop15 || Min akun meta banyak banget🤣🤣 mana centang biru semua 😂😂
s.novita522 || 🤣🤣🤣🤣🤣🤣
safitri.rahmawati_09 || 🤣🤣🤣🤣🤣
azrianims || 😂😂😂😂
amaal.hdf || 😭🤣
nofalfakbr || WKWKWK
nrans42 || 😂😂😂😂
sahlamtz || WKWKWKWKKW
diajeng_sussy || 😂😂😂
irhshnau || 😭😭
afifahnr || 😂😂😭😭😭😭
inipehh_ || Ada ae ide nya dil dil wkwk
itsme_mardhiyah || Disembur😭
zaemaaf_ || Ngakakkk tbtb di sembur🤣
dewinuranna || @sarawijayanto @diarymisterisara tolongg dong undang Fadil
masnyaarifin || versi metaquote... versi metavirtual.. versi 🤔 metaconcept 🥳
nindyatiar || Kesurupannya lamain dong😂
nadoyok || 😭😂
nhynaakbar || 😂
cacapasca || 😂😂😂
de_idan22 || Gwe lebih ke proud  lu bisa kolabs bareng Meta  Dill 🙌
__fiscadwias__ || Hiburan batt astagaa 😂😂
